month,employee_name,user_id,email,role,supervisor
05/01/2017,Macey Colleen Nash,MCN0973,Macey.Colleen.Nash@dtaa.com,ElectricalEngineer,Ann Hannah Dickerson
05/01/2017,Nelle Sharon Cherry,NSC0622,Nelle.Sharon.Cherry@dtaa.com,Technician,Amethyst Suki Norris
05/01/2017,Kathleen Audrey Vargas,KAV0428,Kathleen.Audrey.Vargas@dtaa.com,ProductionLineWorker,Brenna Martha Russell
05/01/2017,Adrienne Joelle Mclean,AJM0772,Adrienne.Joelle.Mclean@dtaa.com,Scientist,Emmanuel Casey Wiggins
05/01/2017,Nicole Maris Valentine,NMV0507,Nicole.Maris.Valentine@dtaa.com,Manager,Perry Reese Morton
05/01/2017,Cora Maggy Wise,CMW0297,Cora.Maggy.Wise@dtaa.com,Salesman,Hanna Miranda Lindsay
05/01/2017,Christian James Rutledge,CJR0414,Christian.James.Rutledge@dtaa.com,ProductionLineWorker,Brenna Martha Russell
05/01/2017,Keefe Darius Duran,KDD0511,Keefe.Darius.Duran@dtaa.com,Scientist,Yeo Xyla Garner
05/01/2017,Akeem Brent Holland,ABH0821,Akeem.Brent.Holland@dtaa.com,Salesman,Dennis Carson Mendoza
05/01/2017,Benjamin Alec Gutierrez,BAG0190,Benjamin.Alec.Gutierrez@dtaa.com,PurchasingClerk,Jayme Adrienne Jarvis
05/01/2017,Blake Chadwick Vaughan,BCV0304,Blake.Chadwick.Vaughan@dtaa.com,Salesman,Hanna Miranda Lindsay
05/01/2017,Gemma Charlotte Bartlett,GCB0638,Gemma.Charlotte.Bartlett@dtaa.com,Scientist,Quon Rana Flynn
05/01/2017,Willa Pearl Kidd,WPK0074,Willa.Pearl.Kidd@dtaa.com,MechanicalEngineer,Benjamin Gannon Rodriquez
05/01/2017,Ivan Tanek Garrison,ITG0649,Ivan.Tanek.Garrison@dtaa.com,SoftwareEngineer,Gabriel Camden Joseph
05/01/2017,Sharon Montana Barnett,SMB0012,Sharon.Montana.Barnett@dtaa.com,Director,Janna Aretha Woodward
05/01/2017,Cassady Mercedes Bentley,CMB0645,Cassady.Mercedes.Bentley@dtaa.com,Mathematician,Quon Rana Flynn
05/01/2017,Eagan Chase Pratt,ECP0997,Eagan.Chase.Pratt@dtaa.com,PurchasingClerk,Jayme Adrienne Jarvis
05/01/2017,Katelyn Cailin Solomon,KCS0524,Katelyn.Cailin.Solomon@dtaa.com,SoftwareEngineer,Chava Ursa Dotson
05/01/2017,Eagan Arthur Holman,EAH0562,Eagan.Arthur.Holman@dtaa.com,ProductionLineWorker,Herrod Len Parker
05/01/2017,Cameron Jonathan Thomas,CJT0374,Cameron.Jonathan.Thomas@dtaa.com,SystemsEngineer,Grady Calvin Morin
05/01/2017,Cole Thaddeus Ellison,CTE0576,Cole.Thaddeus.Ellison@dtaa.com,Salesman,Nicole Maris Valentine
05/01/2017,Merrill Neil Bishop,MNB0535,Merrill.Neil.Bishop@dtaa.com,ComputerProgrammer,Chava Ursa Dotson
05/01/2017,Maxwell Mason Osborne,MMO0264,Maxwell.Mason.Osborne@dtaa.com,HardwareEngineer,Evan Bevis Colon
05/01/2017,Quemby Summer Barry,QSB0729,Quemby.Summer.Barry@dtaa.com,Technician,Porter Hop Livingston
05/01/2017,Nola Rinah Melton,NRM0617,Nola.Rinah.Melton@dtaa.com,Technician,Amethyst Suki Norris
05/01/2017,Aiko Candace Brock,ACB0077,Aiko.Candace.Brock@dtaa.com,MechanicalEngineer,Benjamin Gannon Rodriquez
05/01/2017,Marsden Paul Wong,MPW0904,Marsden.Paul.Wong@dtaa.com,SoftwareEngineer,Zelenia Charlotte Lamb
05/01/2017,Jackson Prescott Mooney,JPM0871,Jackson.Prescott.Mooney@dtaa.com,Technician,Hunter Stephen Slater
05/01/2017,Cadman Hop Hayes,CHH0472,Cadman.Hop.Hayes@dtaa.com,Salesman,Bo Mira Dillard
05/01/2017,Vivian Jenette Peters,VJP0518,Vivian.Jenette.Peters@dtaa.com,Scientist,Yeo Xyla Garner
05/01/2017,Melvin Isaac Nixon,MIN0513,Melvin.Isaac.Nixon@dtaa.com,Scientist,Yeo Xyla Garner
05/01/2017,Caleb Ezra Weber,CEW0539,Caleb.Ezra.Weber@dtaa.com,ProductionLineWorker,Herrod Len Parker
05/01/2017,Suki Noelle Savage,SNS0094,Suki.Noelle.Savage@dtaa.com,ComputerScientist,Evan Bevis Colon
05/01/2017,Basia Lara Lloyd,BLL0527,Basia.Lara.Lloyd@dtaa.com,SoftwareEngineer,Chava Ursa Dotson
05/01/2017,Nicholas Edward Emerson,NEE0521,Nicholas.Edward.Emerson@dtaa.com,Mathematician,Yeo Xyla Garner
05/01/2017,Willa Lara Marshall,WLM0450,Willa.Lara.Marshall@dtaa.com,Salesman,Bo Mira Dillard
05/01/2017,Sage Hilda Woodard,SHW0774,Sage.Hilda.Woodard@dtaa.com,SoftwareEngineer,India Karina Todd
05/01/2017,Amber Shannon Sawyer,ASS0611,Amber.Shannon.Sawyer@dtaa.com,Technician,Amethyst Suki Norris
05/01/2017,Madaline Alisa Bond,MAB0267,Madaline.Alisa.Bond@dtaa.com,TestEngineer,Melissa Ruby Knight
05/01/2017,Roth Isaac Dyer,RID0019,Roth.Isaac.Dyer@dtaa.com,HumanResourceSpecialist,Benjamin Griffin Mclaughlin
05/01/2017,Robin Charlotte Hinton,RCH0166,Robin.Charlotte.Hinton@dtaa.com,Salesman,Hanna Miranda Lindsay
05/01/2017,James Sean Winters,JSW0862,James.Sean.Winters@dtaa.com,Technician,Hunter Stephen Slater
05/01/2017,Nathan Igor Hogan,NIH0093,Nathan.Igor.Hogan@dtaa.com,HardwareEngineer,Evan Bevis Colon
05/01/2017,Simone Amber Owens,SAO0920,Simone.Amber.Owens@dtaa.com,ProductionLineWorker,Theodore Upton Barry
05/01/2017,Nicholas Keane Barlow,NKB0036,Nicholas.Keane.Barlow@dtaa.com,SecurityGuard,Edward Benjamin Buck
05/01/2017,Maryam Althea Bird,MAB0066,Maryam.Althea.Bird@dtaa.com,ComputerScientist,Carl Scott Hooper
05/01/2017,Madaline Pamela Mcknight,MPM0060,Madaline.Pamela.Mcknight@dtaa.com,SoftwareEngineer,Carl Scott Hooper
05/01/2017,Tashya Adria Fowler,TAF0700,Tashya.Adria.Fowler@dtaa.com,Salesman,Castor Chaim Combs
05/01/2017,Megan Brynn Snyder,MBS0355,Megan.Brynn.Snyder@dtaa.com,Physicist,Haviva Jada Molina
05/01/2017,Cherokee Athena Horn,CAH0554,Cherokee.Athena.Horn@dtaa.com,ProductionLineWorker,Herrod Len Parker
